,,Acc,Ticker,Name,Qty,FX,Rec Date,Paid ,Book Cost GBP,Last Price GBP,Value GBP,P/L %,Weight,Target Weight
Equities,,,,,,,,,,,,,32.30%,
EF,EQ,SIPP,VJPN,Japan,"2,094",GBP,,30.39,"£63,637",32.38,"£67,803.72",6.15%,8.09%,7.80%
EF,EQ,ISA,BRWM,Black Rock World Mining,"4,223",GBP,,591.00,"£24,958",683.31,"£28,856.18",13.51%,3.44%,3.10%
LF,EQ,SIPP,AGT,AVI ,"16,760",GBP,,223.00,"£37,375",252.97,"£42,397.77",11.85%,5.06%,6.50%
EF,EQ,SIPP,B61ZBV3,Ranmore Global Equity,207,GBP,,145.05,"£29,998",168.67,"£34,882.64",14.00%,4.16%,4.30%
LF,EQ,ISA,CLDN,Caledonia,"6,020",GBP,,373.18,"£22,465",374.50,"£22,544.90",0.35%,2.69%,2.50%
EF,EQ,ISA,CEA1,iShares MSCI EM Asia ETF USD Acc GBP,154,GBP,,15045.00,"£23,169",17308.00,"£26,654.32",13.07%,3.18%,3.10%
EF,EQ,ISA,CSCA,Ishares Canada,133,GBP,,17086.00,"£22,724",19175.00,"£25,502.75",10.89%,3.04%,3.10%
LF,EQ,ISA,PIN,Pantheon,"6,379",GBP,,313.00,"£19,966",348.60,"£22,237.19",10.21%,2.65%,2.80%
Multi Asset,,,,,,,,,,,,,37.88%,
EF ,MA,SIPP,CGT,Capital Gearing Trust,"2,403",GBP,,4847.00,"£116,473",4904.75,"£117,861.14",1.18%,14.05%,12%
EF ,MA,SIPP,RCP,RIT Capital,"1,229",GBP,,1829.00,"£22,478",2028.38,"£24,928.79",9.83%,2.97%,
LF,MA,SIPP,RCP,RIT Capital,"1,179",GBP,,2005.00,"£23,639",2028.38,"£23,914.60",1.15%,2.85%,5.80%
EF ,MA,SIPP,RICA,Ruffer,"38,081",GBP,,286.50,"£109,102",296.50,"£112,910.17",3.37%,13.46%,11.90%
EF,MA,ISA,BHMG,BH Macro,"9,475",GBP,,392.00,"£37,142",401.25,"£38,018.44",2.31%,4.53%,4.60%
Fixed Income,,,,,,,,,,,,,6.02%,
LF,FI,ISA,TI5G,iShares $ TIPS 0-5 ETF GBP H Dist,10351,GBP,,4.83,"£49,991",4.88,"£50,512.88",1.03%,6.02%,6.10%
Alternative Assets,,,,,,,,,,,,,16.89%,
LF,AA,SIPP,SGLN,Ishares Gold,"1,555",GBP,,4784.00,"£74,391",6089.00,"£94,683.95",21.43%,11.29%,13%
LF,AA,SIPP,TRY,TR Property,"14,672",GBP,,313.00,"£45,923",319.93,"£46,940.13",2.17%,5.60%,5.80%
Cash,,,,,,,,,,,,,6.91%,7.60%
EF,Cash,SIPP,,,,,,,,,"£15,351.00",,1.83%,
EF,Cash,ISA,,,,,,,,,"£4,072.00",,0.49%,
LF,Cash,SIPP,,,,,,,,,"£20,490.00",,2.44%,
LF,Cash,ISA,,,,,,,,,"£18,021.00",,2.15%,
Total,,,,,,,,,,,"£838,584",,100.00%,100.00%